CODE	Label - English	Label - French	Label - German	Standard code	Note (EN only)
CP06231	Services of medical analysis laboratories and X-ray centres	Services de laboratoires d'analyses médicales et de centres de radiologie	Dienstleistungen von medizinischen Labors und Röntgenzentren	Y	
CP06231A	Thorax X-ray (1 service)	Radiographie du thorax (1 service)	Röntgenaufnahme Thorax (1 Dienstleistung)	Y	
CP06232	Thermal-baths, corrective-gymnastic therapy, ambulance and hire of therapeutic equipment	Cures thermales, traitement de gymnastique corrective, services d'ambulance et location de matériel thérapeutique	Thermal-Bäder, Korrektur-Gymnastik Therapie, Ambulanz und Miete von therapeutischen Geräten	Y	
CP06239	Other paramedical services	Autres services paramédicaux	Sonstige paramedizinische Dienstleistungen	Y	
CP063	Hospital services	Services hospitaliers	Krankenhausdienstleistungen	Y	
CP0630	Hospital services	Services hospitaliers	Krankenhausdienstleistungen	Y	
CP06300	Hospital services	Services hospitaliers	Krankenhausdienstleistungen	Y	
CP07	Transport	Transports	Verkehr	Y	
CP071	Purchase of vehicles	Achat de véhicules	Kauf von Fahrzeugen	Y	
CP0711	Motor cars	Voitures automobiles	Neue und gebrauchte Kraftfahrzeuge	Y	
CP07111	New motor cars	Voitures automobiles neuves	Neue Kraftfahrzeuge	Y	
CP07112	Second-hand motor cars	Voitures automobiles d'occasion	Gebrauchte Kraftfahrzeuge	Y	
CP0712-0714	Motor cycles, bicycles and animal drawn vehicles	Motocycles, cycles et véhicules à traction animale	Krafträder, Fahrräder und Gespannfahrzeuge	Y	
CP0712	Motor cycles	Motocycles	Krafträder	Y	
CP07120	Motor cycles	Motocycles	Krafträder	Y	
CP0713	Bicycles	Bicyclettes	Fahrräder	Y	
CP07130	Bicycles	Bicyclettes	Fahrräder	Y	
CP0714	Animal drawn vehicles	Véhicules à traction animale	Gespannfahrzeuge	Y	
CP07140	Animal drawn vehicles	Véhicules à traction animale	Gespannfahrzeuge	Y	
CP072	Operation of personal transport equipment	Utilisation de véhicules personnels	Betrieb von privaten Verkehrsmitteln	Y	
CP0721	Spare parts and accessories for personal transport equipment	Pièces de rechange et accessoires pour véhicules personnels	Ersatzteile und Zubehör für private Verkehrsmittel	Y	
CP07211	Tyres	Pneus	Reifen	Y	
CP07211A	Summer tyres (4 tyres)	Pneumatiques d'été (4 pneus)	Sommerreifen (4 Reifen)	Y	
CP07211B	Winter tyres (4 tyres)	Pneumatiques d' hiver (4 pneus)	Winterreifen (4 Reifen)	Y	
CP07212	Spare parts for personal transport equipment	Pièces de rechange pour véhicules personnels	Zubehör für private Verkehrsmittel	Y	
CP07212A	Car battery (1 piece)	Batterie de voiture (1 pièce)	Autobatterie (1 Stück)	Y	
CP07213	Accessories for personal transport equipment	Accessoires pour véhicules personnels	Zubehör für private Verkehrsmittel	Y	
CP0722	Fuels and lubricants for personal transport equipment	Carburants et lubrifiants pour véhicules personnels	Kraft- und Schmierstoffe	Y	
CP07221	Diesel	Gazole	Diesel	Y	
CP07222	Petrol	Essence	Benzin	Y	
CP07223	Other fuels for personal transport equipment	Autres caburants pour véhicules personnels	Sonstige Kraftstoffe für private Verkehrsmittel	Y	
CP07224	Lubricants	Lubrifiants	Schmierstoffe	Y	
CP0723	Maintenance and repair of personal transport equipment	Entretien et réparation de véhicules personnels	Instandhaltung und Reparatur	Y	
CP07230	Maintenance and repair of personal transport equipment	Entretien et réparation de véhicules personnels	Instandhaltung und Reparatur	Y	
CP07230A	Replacement of brake pads (1 hour)	Remplacement de plaquettes de freins (1 heure)	Austausch der Bremsbeläge (1 Stunde)	Y	
CP07230B	Change of oil (1 service)	Vidange d' huile (1 service)	Ölwechsel (1 Dienstleistung)	Y	
CP07230C	Car wash (1 service)	Lavage de voiture (1 service)	Autowäsche (1 Dienstleistung)	Y	
CP0724	Other services in respect of personal transport equipment	Services divers liés à des véhicules personnels	Sonstige Dienstleistungen an privaten Verkehrsmittel	Y	
CP07241	Hire of garages, parking spaces and personal transport equipment	Location de garages, de places de stationnement et de véhicules personnels	Vermietung von Garagen, Stellplätzen und privaten Verkehrsmittlen	Y	
CP07241A	Car hire (7 days)	Location de voitures (7 jours)	Mietwagen (7 Tagen)	Y	
CP07242	Toll facilities and parking meters	Péage et parcmètres	Mauteinrichtungen und Parkuhren	Y	
CP07243	Driving lessons, tests, licences and road worthiness tests	Leçons de conduite, épreuves de conduite, permis de conduire et contrôle technique automobile	Fahrstunden, Prüfungen, Lizenzen und Verkehrstauglichkeitstests	Y	
CP073_X_0733_0734	Transport services except passenger transport by air, sea and inland waterway	Services de transport sauf le transport de voyageurs par air, mer et voies navigables intérieures	Verkehrsleistungen ohne Luftpersonenverkehr, Personenverkehr in See- und Binnenschiffahrt	Y	
CP073	Transport services	Services de transport	Verkehrsleistungen	Y	
CP0731	Passenger transport by railway	Transport de voyageurs par chemin de fer	Schienenpersonenverkehr	Y	
CP07311	Passenger transport by train	Transport de voyageurs par train	Eisenbahn-Personenverkehr	Y	
CP07311A	Rail travel, single ticket (1 ticket)	Voyage en train, aller simple (1 ticket)	Bahnreisen, einfache Fahrt (1 Einzelfahrschein)	Y	
CP07312	Passenger transport by underground and tram	Transport de voyageurs par métro et tramway	Personenverkehr in U-Bahn und Straßenbahn	Y	
CP0732	Passenger transport by road	Transport de voyageurs par route	Straßenpersonenverkehr	Y	
CP07321	Passenger transport by bus and coach	Transport de voyageurs par autobus et autocar	Personenverkehr mit Bussen und Omnibussen	Y	
CP07321A	Urban bus transport, single ticket (1 ticket)	Transport en bus urbain, aller simple (1 ticket)	Öffentlicher Personennahverkehr, einfache Fahrt (1 Einzelfahrschein)	Y	
CP07322	Passenger transport by taxi and hired car with driver	Transport de voyageurs par taxi et voiture de location avec chauffeur	Personenverkehr mit Taxis und Mietwagen mit Fahrer	Y	
CP07322A	Taxi (1 trip)	Taxi (1 trajet)	Taxi (1 Fahrt)	Y	
CP0733	Passenger transport by air	Transport de voyageurs par air	Luftpersonenverkehr	Y	
CP07331	Domestic flights	Vols intérieurs	Inlandsflüge	Y	
CP07332	International flights	Vols internationaux	Internationale Flüge	Y	
CP0734	Passenger transport by sea and inland waterway	Transport de voyageurs par mer et voies navigables intérieures	Personenverkehr in See- und Binnenschiffahrt	Y	
CP07341	Passenger transport by sea	Transport de voyageurs par mer	Personenverkehr in der Seeschiffahrt	Y	
CP07342	Passenger transport by inland waterway	Transport de voyageurs par voies navigables intérieures	Personenverkehr in der Binnenschiffahrt	Y	
CP0735	Combined passenger transport	Transport combiné de voyageurs	Kombinierter Personenverkehr	Y	
CP07350	Combined passenger transport	Transport combiné de voyageurs	Kombinierter Personenverkehr	Y	
CP0736	Other purchased transport services	Autres services de transport	Sonstige gekaufte Verkehrsleistungen	Y	
CP07361	Funicular, cable-car and chair-lift transport	Transports funiculaire, téléphérique et télésiège	Verkehr mit Standseilbahn, Luftseilbahn und Sessellift	Y	
CP07362	Removal and storage services	Services de déménagement et d'entreposage	Dienstleistungen für Umzug und Lagerung	Y	
CP07369	Other purchased transport services n.e.c.	Autres services de transport n.c.a.	Sonstige gekaufte Verkehrsdienstleistungen, n.a.g.	Y	
CP08	Communications	Communications	Nachrichtenübermittlung	Y	
CP081	Postal services	Services postaux	Postdienste	Y	
CP0810	Postal services	Services postaux	Postdienste	Y	
CP08101	Letter handling services	Services de traitement de courrier	Dienstleistungen der Briefhandhabung	Y	
CP08109	Other postal services	Autres services postaux	Sonstige Postdienstleistungen	Y	
CP082_083	Telephone and telefax equipment and services	Equipements de téléphone et de télécopie et services	Telefonapparate und Telefaxgeräte und Dienstleistungen	Y	
CP082	Telephone and telefax equipment	Matériel de téléphonie et de télécopie	Telefonapparate und Telefaxgeräte	Y	
CP0820_0830	Telephone and telefax equipment and services	Matériel et services de téléphone et de télécopie	Telefonapparate und Telefaxgeräte; Telefon- und Telefaxdienste	Y	
CP0820	Telephone and telefax equipment	Matériel de téléphone et de télécopie	Telefonapparate und Telefaxgeräte	Y	
CP08201	Fixed telephone equipment	Matériel de téléphonie fixe	Kabeltelefonapparate	Y	
CP08202	Mobile telephone equipment	Matériel de téléphonie mobile	Mobiltelefonapparate	Y	
CP08203	Other equipment of telephone and telefax equipment	Autre matériel de téléphonie et de télécopie	Sonstige Telefonapparate und Telefaxgeräte	Y	
CP08204	Repair of telephone or telefax equipment	Réparation de matériel de téléphonie ou de télécopie	Reparatur von Telefonapparaten und Telefaxgeräten	Y	
CP083	Telephone and telefax services	Services de téléphonie et de télécopie	Telefon- und Telefaxdienste	Y	
CP0830	Telephone and telefax services	Services de téléphonie et de télécopie	Telefon- und Telefaxdienste	Y	
CP08301	Wired telephone services	Services téléphonie filaire	Kabeltelefondienstleistungen	Y	
CP08302	Wireless telephone services	Services de téléphonie sans fil	Kabellose Telefondienstleistungen	Y	
CP08303	Internet access provision services	Services de fourniture d'accès à internet	Bereitstellung des Internetzugangs	Y	
CP08304	Bundled telecommunication services	Services de télécommunications groupés	Gebündelte Telekommunikationsdienstleistungen	Y	
CP08305	Other information transmission services	Autres services de transmission de l'information	Sonstige Dienstleistungen zur Informationsübertragung	Y	
CP09	Recreation and culture	Loisirs et culture	Freizeit und Kultur	Y	
SPRT	Sports goods and services	Biens et services sportifs	Sportausgüter und -dienstleistungen	M	
CLT	Cultural goods and services	Biens et services culturels	Kulturgüter und -dienstleistungen	M	
CP091	Audio-visual, photographic and information processing equipment	Matériel audiovisuel, photographique et de traitement de l'information	Geräte und Zubehör einschließlich Reparatur	Y	
CP0911	Equipment for the reception, recording and reproduction of sound and picture	Matériel de réception, d'enregistrement et de reproduction du son et de l'image	Empfangs-, Aufzeichnungs- und Wiedergabegeräte für Ton und Bild	Y	
CP09111	Equipment for the reception, recording and reproduction of sound	Matériel de réception, d'enregistrement et de reproduction du son	Empfangs-, Aufzeichnungs- und Wiedergabegeräte für Ton	Y	
CP09112-09119	Equipment for the reception, recording and reproduction of sound, vision and picture	Matériel de réception, d'enregistrement et de reproduction du son, de la vision et de l'image	Geräte für Empfang, Aufnahme und Wiedergabe von Ton, Bildern und Bild	Y	
CP09112	Equipment for the reception, recording and reproduction of sound and vision	Matériel de réception, d'enregistrement et de reproduction du son et de l'image	Empfangs-, Aufzeichnungs- und Wiedergabegeräte für Ton und Bild	Y	
CP09112A1	Television, screen size 32'' (1 piece)	Télévision, taille de l'écran 32'' (1 pièce)	Fernseher, Bildschirmgröße 32'' (1 Stück)	Y	
CP09112A2	Television, screen size 42'' (1 piece)	Télévision, taille de l'écran 42'' (1 pièce)	Fernseher, Bildschirmgröße 42'' (1 Stück)	Y	
CP09112B	DVD player (1 piece)	Lecteur DVD (1 pièce)	DVD-Player (1 Stück)	Y	
CP09112C1	DVD recorder with hard disc, 160-250 GB (1 piece)	Enregistreur DVD avec disque dur, 160-250 GB (1 pièce)	DVD-Rekorder mit Festplatte, 160-250 GB (1 Stück)	Y	
CP09112C2	DVD recorder with hard disc, 200-300 GB (1 piece)	Enregistreur DVD avec disque dur, 200-300 GB (1 pièce)	DVD-Rekorder mit Festplatte, 200-300 GB (1 Stück)	Y	
CP09112D	Blu-ray disc player (1 piece)	Lecteur Blu-Ray (1 pièce)	Blu-Ray-Player (1 Stück)	Y	
CP09113	Portable sound and vision devices	Appareils audio et vidéo portables	Tragbare Ton- und Bildgeräte	Y	
CP09113A1	Portable MP3 player, 4 GB (1 piece)	Lecteur MP3 portable, 4 GB (1 pièce)	Tragbarer MP3-Player, 4 GB (1 Stück)	Y	
CP09113A2	Portable MP3 player, 16 GB (1 piece)	Lecteur MP3 portable, 16 GB (1 pièce)	Tragbarer MP3-Player, 16 GB (1 Stück)	Y	
CP09119	Other equipment for the reception, recording and reproduction of sound and picture	Autre matériel de réception, d'enregistrement et de reproduction du son et de l'image	Sonstige Empfangs-, Aufzeichnungs- und Wiedergabegeräte für Ton und Bild	Y	
CP0912	Photographic and cinematographic equipment and optical instruments	Matériel photographique et cinématographique et instruments d'optique	Foto-, Kino- und optische Geräte	Y	
CP09121_09122	Cameras and accessories for photographic and cinematographic equipment	Appareils photo et accesoires photographiques; matériel cinématographique	Fotokameras und Zubehör fur fotografische und kinematografische Geräte	Y	
CP09121	Cameras	Appareils photo et caméras	Fotokameras	Y	
CP09121A	Compact digital camera, 12 Mpx (1 piece)	Appareil photo numérique compact, 12 Mpx (1 pièce)	Digitale Kompaktkamera, 12 Mpx (1 Stück)	Y	
CP09121B	Camcorder, HDD (1 piece)	Caméscope, HDD (1 pièce)	Camcorder, HDD (1 Stück)	Y	
CP09122	Accessories for photographic and cinematographic equipment	Accessoires pour matériel photographique et cinématographique	Zubehör fur fotografische und kinematografische Geräte	Y	
CP09123	Optical instruments	Instruments d'optique	Optische Instrumente	Y	
CP0913	Information processing equipment	Matériel de traitement de l'information	Datenverarbeitungsgeräte	Y	
CP09131	Personal computers	Ordinateurs personnels	Personalcomputer	Y	
CP09131A1	Laptop, Hard Disc 320 GB, RAM 4 GB (1 piece)	Ordinateur portable, Disque Dur 320 GB, RAM 4GB (1 pièce)	Laptop, Festplattenlaufwerk 320 GB, RAM 4 GB (1 Stück)	Y	
CP09131A2	Laptop, Hard Disc 640 GB, RAM 4 GB (1 piece)	Ordinateur portable, Disque Dur 640 GB, RAM 4GB (1 pièce)	Laptop, Festplattenlaufwerk 640 GB, RAM 4 GB (1 Stück)	Y	
CP09131A3	Laptop, Hard Disc 750 GB, RAM 8 GB (1 piece)	Ordinateur portable, Disque Dur 750 GB, RAM 8GB (1 pièce)	Laptop, Festplattenlaufwerk 750 GB, RAM 8 GB (1 Stück)	Y	
CP09131A4	Laptop, Hard Disc 750 GB - 1 TB, RAM 8 GB (1 piece)	Ordinateur portable, Disque Dur 750 GB - 1 TB, RAM 8GB (1 pièce)	Laptop, Festplattenlaufwerk 750 GB - 1 TB, RAM 8 GB (1 Stück)	Y	
CP09131B	Monitor, Full HD (1 piece)	Écran Full HD (1 pièce)	Monitor, Full HD (1 Stück)	Y	
CP09132	Accessories for information processing equipment	Accessoires pour matériel de traitement de l'information	Zubehör für Datenverarbeitungsgeräte	Y	
CP09133	Software	Logiciels	Software	Y	
CP09134	Calculators and other information processing equipment	Calculatrices et autres matériel de traitement de l'information	Taschenrechner und sonstige Datenverarbeitungsgeräte	Y	
CP0914	Recording media	Supports d'enregistrement	Aufzeichnungsmedien	Y	
CP09141	Pre-recorded recording media	Supports d'enregistrement préenregistrés	Vorbespielte Aufzeichnungsmedien	Y	
CP09141A	Music CD - Pop Chart (1 piece)	CD de musique, pop (1 pièce)	Musik-CD - Pop Charts (1 Stück)	Y	
CP09141B	Movie DVD (1 piece)	DVD vidéo (1 pièce)	Spielfilm-DVD (1 Stück)	Y	
CP09142	Unrecorded recording media	Supports d'enregistrement vierges	Leere Aufzeichnungsmedien	Y	
CP09142A1	Blank compact disc (CD-R) (1 piece)	CD vierge (CD-R) (1 pièce)	CD-Rohling (CD-R) (1 Stück)	Y	
CP09142A2	Blank compact disc (CD-R) (10 pieces)	CD vierge (CD-R) (10 pièces)	CD-Rohling (CD-R) (10 Stück)	Y	
CP09142B	Blank DVDs (R), slim cases (10 pieces)	DVDs vierges (R), boîtiers (10 pièces)	DVDs-Rohling (R), Slimcases (10 Stück)	Y	
CP09149	Other recording media	Autres supports d'enregistrement	Sonstige Aufzeichnungsmedien	Y	
CP0915	Repair of audio-visual, photographic and information processing equipment	Réparation de matériel audiovisuel, photographique et de traitement de l'information	Reparatur von audiovisuellen, fotografischen und Datenverarbeitungsgeräten	Y	
CP09150	Repair of audio-visual, photographic and information processing equipment	Réparation de matériel audiovisuel, photographique et de traitement de l'information	Reparatur von audiovisuellen, fotografischen und Datenverarbeitungsgeräten	Y	
CP092	Other major durables for recreation and culture	Autres gros biens durables à fonction récréative et culturelle	Sonstige wesentliche Gebrauchsgüter für Freizeit und Kultur	Y	
CP0921_0922	Major durables for indoor and outdoor recreation including musical instruments	Gros biens durables pour les loisirs d'intérieur et d'extérieur, y compris les instruments de musique	Wesentliche Gebrauchsgüter für die Freizeit einschließlich Musikinstrumenten	Y	
CP0921	Major durables for outdoor recreation	Gros biens durables pour loisirs de plein air	Wesentliche Gebrauchsgüter für die Freizeit	Y	
CP09211	Camper vans, caravans and trailers	Autocaravanes, caravanes et remorques	Wohnmobile, Wohnwagen und Anhänger	Y	
CP09212	Aeroplanes, microlight aircraft, gliders, hang-gliders and hot-air balloons	Avions, ULM, planeurs, deltaplanes et montgolfières	Flugzeuge, Ultraleichtflugzeuge, Segelflugzeuge, Hängegleiter und Heißluftballons	Y	
CP09213	Boats, outboard motors and fitting out of boats	Bateaux, moteurs hors-bord et équipements de bateaux	Boote, Außenbordmotoren und Ausstattung der Boote	Y	
CP09214	Horses, ponies and accessories	Chevaux, poneys et accessoires	Pferde, Ponys und Zubehör	Y	
CP09215	Major items for games and sport	Gros articles de jeu et de sport	Wesentliche Gebrauchsgüter für Spiel und Sport	Y	
CP0922	Musical instruments and major durables for indoor recreation	Instruments de musique et gros biens durables destinés aux loisirs d'intérieur	Musikinstrumenten und wesentliche Gebrauchsgüter für die Freizeit	Y	
CP09221_09429	Musical instruments (incl. rental and leasing services)	Instruments de musique (incl. services de location et leasing)	Musikinstrumente (einschließlich Vermietung und Leasing)	Y	
CP09221	Musical instruments	Instruments de musique	Musikinstrumente	Y	
CP09222	Major durables for indoor recreation	Gros biens durables pour loisirs d'intérieur	Größere Gebrauchsgüter zur Freizeitgestaltung im Haus	Y	
CP0923	Maintenance and repair of other major durables for recreation and culture	Entretien et réparation d'autres gros biens durables à fonction récréative et culturelle	Instandhaltung und Reparatur von sonstigen wesentlichen Gebrauchsgütern für Freizeit und Kultur	Y	
CP09230	Maintenance and repair of other major durables for recreation and culture	Entretien et réparation d'autres gros biens durables à fonction récréative et culturelle	Instandhaltung und Reparatur von sonstigen wesentlichen Gebrauchsgütern für Freizeit und Kultur	Y	
CP093	Other recreational items and equipment, gardens and pets	Autres articles et matériel de loisirs, jardinage et animaux de compagnie	Sonstige Freizeitartikel und -geräte, Gartenartikel und Heimtiere	Y	
CP0931	Games, toys and hobbies	Jeux, jouets et passe-temps	Spiel- und Hobbywaren	Y	
CP09311	Games and hobbies	Jeux et passe-temps	Spiele und Hobbys	Y	
CP09311A	Board game, Monopoly (1 piece)	Jeu de société, Monopoly (1 pièce)	Brettspiel, Monopoly (1 Stück)	Y	
CP09311B	Video game, PlayStation 3 (1 piece)	Jeu vidéo, PlayStation 3 (1 pièce)	Videospiel, PlayStation 3 (1 Stück)	Y	
CP09312	Toys and celebration articles	Jouets et articles de fête	Spielzeuge und Festartikel	Y	
CP0932	Equipment for sport, camping and open-air recreation	Articles de sport, matériel de camping et matériel pour activités de plein air	Sportgeräte und Ausrüstungen für Camping und Erholung im Freien	Y	
CP09321	Equipment for sport	Articles de sports	Sportgeräte	Y	
CP09322	Equipment for camping and open-air recreation	Matériel de camping et matériel pour activités de plein air	Ausrüstungen für Camping und Erholung im Freien	Y	
CP09323	Repair of equipment for sport, camping and open-air recreation	Réparation d'articles de sport, de matériel de camping et de matériel pour activités de plein air	Reparatur von Ausrüstungen für Camping und Erholung im Freien	Y	
CP0933	Gardens, plants and flowers	Produits pour jardins, plantes et fleurs	Pflanzen	Y	
CP09331	Garden products	Produits pour jardins	Gartenartikel	Y	
CP09331A	Potting soil (10 l)	Terreau (10 l)	Blumenerde (10 l)	Y	
CP09332	Plants and flowers	Plantes et fleurs	Pflanzen und Blumen	Y	
CP0934_0935	Pets and related products; veterinary and other services for pets	Animaux de compagnie et produits liés, y compris les services vétérinaires et autres services pour les animaux de compagnie	Heimtiere und Heimtierartikel sowie Veterinär- und sonstige Dienstleistungen für Heimtiere	Y	
CP0934	Pets and related products	Animaux de compagnie et produits connexes	Heimtiere und Heimtierartikel	Y	
CP09341	Purchase of pets	Achat d'animaux de compagnie	Kauf von Heimtieren	Y	
CP09342	Products for pets	Produits pour animaux de compagnie	Artikel für Heimtiere	Y	
CP09342A	Dog food, meat (1 kg)	Pâtée pour chien, viande (1 kg)	Hundefutter auf Fleischbasis (1 kg)	Y	
CP09342B	Dog food dry (1 kg)	Croquettes pour chien (1 kg)	Hundetrockenfutter (1 kg)	Y	
CP0935	Veterinary and other services for pets	Services vétérinaires et autres pour animaux de compagnie	Veterinär und andere Dienstleistungen für Heimtiere	Y	
CP09350	Veterinary and other services for pets	Services vétérinaires et autres pour animaux de compagnie	Veterinär und sonstige Dienstleistungen für Heimtiere	Y	
CP094	Recreational and cultural services	Services récréatifs et culturels	Freizeit- und Kulturdienstleistungen	Y	
CP0941	Recreational and sporting services	Services sportifs et récréatifs	Freizeit- und Sportdienstleistungen	Y	
CP09411	Recreational and sporting services - Attendance	Services sportifs et récréatifs - Fréquentation	Freizeit- und Sportdienstleistungen - Besuche	Y	
CP09412	Recreational and sporting services - Participation	Services sportifs et récréatifs - Participation	Freizeit- und Sportdienstleistungen - Teilnahme	Y	
CP0942	Cultural services	Services culturels	Kulturdienstleistungen	Y	
CP09421	Cinemas, theatres, concerts	Cinémas, théâtres, concerts	Kinos, Theater, Konzerte	Y	
CP09421A	Cinema ticket (1 ticket)	Place de cinéma (1 ticket)	Kinokarte (1 Eintrittskarte)	Y	
CP09422	Museums, libraries, zoological gardens	Musées, bibliothèques, jardins zoologiques	Museen, Bibliotheken und zoologische Gärten	Y	
CP09423_09424	Television and radio licence fees, subscriptions, hire of equipment and accessories for culture	Redevances audiovisuelle, abonnements, location d'équipement et accessoires pour la culture	Fernseh- und Rundfunklizenzgebühr, Abonnements, Miete von Geräten und Zubehör für Kultur	Y	
CP09423	Television and radio licence fees, subscriptions	Redevances pour la télévision et la radio, abonnements	Fernseh- und Rundfunklizenzgebühr, Abonnements	Y	
