CODE	Label - English	Label - French	Label - German	Standard code	Note (EN only)
CP09424	Hire of equipment and accessories for culture	Location de matériel et d'accessoires à fonction culturelle	Miete von Geräten und Zubehör für Kultur	Y	
CP09425	Photographic services	Services photographiques	Fotografische Dienstleistungen	Y	
CP09425A	Digital photo print service (30 photos)	Service d'impression de photos numériques (30 photos)	Digitalfotodruck (30 Fotos)	Y	
CP09429	Other cultural services	Autres services culturels	Sonstige Kulturdienstleistungen	Y	
CP0943	Games of chance	Jeux de hasard	Glücksspiel	Y	
CP09430	Games of chance	Jeux de hasard	Glücksspiel	Y	
CP095	Newspapers, books and stationery	Livres, journaux et articles de papeterie	Zeitungen, Bücher und Schreibwaren	Y	
CP0951	Books	Livres	Bücher	Y	
CP09511	Fiction books	Livres de fiction	Bellestristik	Y	
CP09511A	Novel, Top 5 (1 book)	Roman, Top 5 (1 livre)	Roman, Top 5 (1 Buch)	Y	
CP09512	Educational text books	Manuels scolaires	Schulbücher	Y	
CP09513	Other non-fiction books	Autres livres non fictionnels	Sonstige Sachbücher	Y	
CP09514	Binding services and E-book downloads	Services de reliure et téléchargements de livres électroniques	Einfassungsdienstleistungen und Herunterladen von E-books	Y	
CP0952	Newspapers and periodicals	Journaux et publications périodiques	Zeitungen und Zeitschriften	Y	
CP09521	Newspapers	Journaux	Zeitungen	Y	
CP09521A	Daily newspaper (1 piece)	Journal quotidien (1 pièce)	Tageszeitung (1 Stück)	Y	
CP09522	Magazines and periodicals	Revues et publications périodiques	Magazine und Zeitschriften	Y	
CP09522A	Magazine, weekly, gossip (1 copy)	Revue hebdomadaire, people (1 exemplaire)	Wochenzeitschrift, Regenbogenpresse (1 Ausgabe)	Y	
CP0953_0954	Miscellaneous printed matter; stationery and drawing materials	Imprimés divers et articles de papeterie et de dessin	Sonstige Druckerzeugnisse sowie Schreibwaren und Zeichenmaterial	Y	
CP0953	Miscellaneous printed matter	Imprimés divers	Sonstige Druckerzeugnisse	Y	
CP09530	Miscellaneous printed matter	Imprimés divers	Sonstige Druckerzeugnisse	Y	
CP0954	Stationery and drawing materials	Papeterie et matériel de dessin	Schreibwaren und Zeichenmaterial	Y	
CP09541	Paper products	Produits de papier	Papierartikel	Y	
CP09541A	Paper, DIN A4 (500 sheets)	Papier, DIN A4 (500 feuilles)	Papier, DIN A4 (500 Blatt)	Y	
CP09541B	Pencil (1 piece)	Crayon (1 pièce)	Bleistift (1 Stück)	Y	
CP09549	Other stationery and drawing materials	Autres articles de papeterie et matériel de dessin	Sonstige Schreibwaren und Zeichenmaterial	Y	
CP096	Package holidays	Forfaits touristiques	Pauschalreisen	Y	
CP0960	Package holidays	Forfaits touristiques	Pauschalreisen	Y	
CP09601	Package domestic holidays	Forfaits touristiques nationaux	Pauschalreisen im Inland	Y	
CP09602	Package international holidays	Forfaits touristiques internationaux	Internationale Pasuchalreisen	Y	
CP10	Education	Enseignement	Bildungswesen	Y	
CP101-105	Pre-primary and primary, secondary, post-secondary non-tertiary, tertiary education, and education not definable by level	Enseignement préprimaire et primaire, enseignement secondaire, postsecondaire non supérieur, enseignement supérieur et enseignement ne correspondant à aucun niveau particulier	Kindergärten, Vor- und Grundschulen, weiterführende Schulen, Hochschulen, Erwachsenenbildung und sonstiger Unterricht	Y	
CP101	Pre-primary and primary education	Éducation préprimaire et enseignement primaire	Kindergärten und Vorbildung	Y	
CP1010-1050	Pre-primary and primary, secondary, post-secondary non-tertiary, tertiary education, and education not definable by level	Enseignement préprimaire et primaire, enseignement secondaire, postsecondaire non supérieur, enseignement supérieur et enseignement ne correspondant à aucun niveau particulier	Kindergärten, Vor- und Grundschulen, weiterführende Schulen, Hochschulen, Erwachsenenbildung und sonstiger Unterricht	Y	
CP1010	Pre-primary and primary education	Éducation préprimaire et enseignement primaire	Kindergärten und Vorbildung	Y	
CP10101	Pre-primary education	Éducation préprimaire	Kindergärten	Y	
CP10102	Primary education	Enseignement primaire	Vorbildung	Y	
CP102	Secondary education	Enseignement secondaire	Schulbildung Sekundarstufe	Y	
CP1020	Secondary education	Enseignement secondaire	Schulbildung Sekundarstufe	Y	
CP10200	Secondary education	Enseignement secondaire	Schulbildung Sekundarstufe	Y	
CP103	Post-secondary non-tertiary education	Enseignement post-secondaire non supérieur	Post-sekundäre, nicht tertiäre Schulbildung	Y	
CP1030	Post-secondary non-tertiary education	Enseignement post-secondaire non supérieur	Post-sekundäre, nicht tertiäre Schulbildung	Y	
CP10300	Post-secondary non-tertiary education	Enseignement post-secondaire non supérieur	Post-sekundäre, nicht tertiäre Schulbildung	Y	
CP104	Tertiary education	Enseignement supérieur	Tertiäre Schulbildung	Y	
CP1040	Tertiary education	Enseignement supérieur	Tertiäre Schulbildung	Y	
CP10400	Tertiary education	Enseignement supérieur	Tertiäre Schulbildung	Y	
CP105	Education not definable by level	Enseignement non défini par niveau	Nicht einstufbare Bildung	Y	
CP1050	Education not definable by level	Enseignement non défini par niveau	Nicht einstufbare Bildung	Y	
CP10500	Education not definable by level	Enseignement non défini par niveau	Nicht einstufbare Bildung	Y	
CP11	Restaurants and hotels	Restaurants et hôtels	Restaurants und Hotels	Y	
CP111	Catering services	Services de restauration	Catering-Dienstleistungen	Y	
CP1111	Restaurants, cafés and the like	Restaurants, cafés et établissements similaires	Restaurants, Cafés und dergleichen	Y	
CP11111	Restaurants, cafés and dancing establishments	Restaurants, cafés et établissements de danse	Restaurants, Cafés und Tanzlokale	Y	
CP11111A	Menu of the day (1 menu)	Menu du jour (1 menu)	Tagesgericht (1 Menü)	Y	
CP11111B1	Red house wine, 0.12 l (1 glass)	Vin rouge ordinaire, 0.12 l (1 verre)	Roter Hauswein, 0.12 l (1 Glas)	Y	
CP11111B2	Red house wine, 0.10 l (1 glass)	Vin rouge ordinaire, 0.10 l (1 verre)	Roter Hauswein, 0.10 l (1 Glas)	Y	
CP11111C1	Beer (lager), domestic, 0.2-0.35 l (1 glass)	Bière blonde locale, 0.2-0.35 l (1 verre)	Lagerbier in der Gastronomie, 0.2-0.35l (1 Glas)	Y	
CP11111C2	Beer (lager), domestic, 0.5 l (1 glass)	Bière blonde locale, 0.5 l (1 verre)	Lagerbier in der Gastronomie, 0.5l (1 Glas)	Y	
CP11111D	Cup of coffee (1 cup)	Tasse de café (1 tasse)	Filterkaffee, Tasse (1 Tasse)	Y	
CP11112	Fast food and take away food services	Services de restauration rapide et de restauration à emporter	Schnellimbiss und Dienstleistungen von Imbissbuden	Y	
CP1112	Canteens	Cantines	Kantinen	Y	
CP11120	Canteens	Cantines	Kantinen	Y	
CP112	Accommodation services	Services d'hébergement	Beherbergungsleistungen	Y	
CP1120	Accommodation services	Services d'hébergement	Beherbergungsdienstleistungen	Y	
CP11201	Hotels, motels, inns and similar accommodation services	Hôtels, motels, auberges et hébergements similaires	Hotels, Motels, Pensionen und ähnliche Beherbergungsstätten	Y	
CP11201A	Hotel weekend (1 service)	Week-end à l'hôtel (1 service)	Übernachtung in einem Hotel, Wochenende (1 Dienstleistung)	Y	
CP11202	Holiday centres, camping sites, youth hostels and similar accommodation services	Centres de vacances, terrains de campings, auberges de jeunesse et hébergements similaires	Ferienhäuser, Campingplätze, Jugendherbergen und ähnliche Beherbergungsstätten	Y	
CP11203	Accommodation services of other establishments	Services d'hébergement d'autres établissements	Beherbergungsdienstleistungen von sonstigen Einrichtungen	Y	
CP12	Miscellaneous goods and services	Biens et services divers	Verschiedene Waren und Dienstleistungen	Y	
CP121	Personal care	Soins corporels	Körperpflege	Y	
CP1211	Hairdressing salons and personal grooming establishments	Salons de coiffure et instituts de soins et de beauté	Firseursalons und Kosmetikstudios	Y	
CP12111	Hairdressing for men and children	Coiffure pour hommes et enfants	Friseure für Herren und Kinder	Y	
CP12111A	Men's scissors cuts, wet (1 service)	Coupe de cheveux homme, cheveux humides (1 service)	Herren-Scherenhaarschnitt, nass (1 Dienstleistung)	Y	
CP12112	Hairdressing for women	Coiffure pour femmes	Friseure für Damen	Y	
CP12112A	Ladies - haircut (1 service)	Coupe de cheveux dame (1 service)	Damenhaarschnitt (1 Dienstleistung)	Y	
CP12113	Personal grooming treatments	Soins de beauté corporels	Kosmetikbehandlungen	Y	
CP1212_1213	Electrical appliances for personal care; other appliances, articles and products for personal care	Appareils électriques pour les soins personnels et autres appareils, articles et produits pour les soins personnels	Elektrische Geräte für die Körperpflege; sonstige Geräte, Artikel und Erzeugnisse für die Körperpflege	Y	
CP1212	Electrical appliances for personal care	Appareils électriques pour soins corporels	Elektrische Geräte für die Körperpflege	Y	
CP12121	Electric appliances for personal care	Appareils électriques pour soins corporels	Elektrische Geräte für die Körperpflege	Y	
CP12121A	Electric razor (1 piece)	Rasoir électrique (1 pièce)	Elektrischer Rasierapparat (1 Stück)	Y	
CP12121B	Electric toothbrush (1 set)	Brosse à dents électrique (1 ensemble)	Elektrische Zahnbürste (1 Set)	Y	
CP12122	Repair of electric appliances for personal care	Réparation d'appareils electriques pour soins corporels	Reparatur von elektrischen Geräten für die Körperpflege	Y	
CP1213	Other appliances, articles and products for personal care	Autres appareils, articles et produits pour soins corporels	Sonstige Geräte, Artikel und Erzeugnisse für die Körperpflege	Y	
CP12131	Non-electrical appliances	Appareils non électriques	Nichtelektrische Geräte	Y	
CP12131A	Cartridges for safety razor, men (5 cartridges)	Recharges pour rasoir de sécurité homme (5 recharges)	Rasierklingen für Männer (5 Stück)	Y	
CP12132	Articles for personal hygiene and wellness, esoteric products and beauty products	Articles pour l'hygiène corporelle et le bien-être, produits ésotériques et produits de beauté	Artikel für die persönliche Hygiene und Wellness, esoterische Produkte und Schönheitsprodukte	Y	
CP12132A	Shampoo (400 ml)	Shampoing (400 ml)	Haarshampoo (400 ml)	Y	
CP12132B	Tooth paste (100 ml)	Dentifrice (100 ml)	Zahnpasta (100 ml)	Y	
CP12132C	Toilet soap, liquid (200 ml)	Savon de toilette liquide (200 ml)	Feinseife, flüssig (200 ml)	Y	
CP12132D	Shower gel (300 ml)	Gel douche (300 ml)	Duschgel (300 ml)	Y	
CP12132E	Deodorant (50 ml)	Déodorant (50 ml)	Deodorant (50 ml)	Y	
CP12132F	Tampons (10 pieces)	Tampons (10 pièces)	Tampons (10 Stück)	Y	
CP12132G	Disposable nappies (50 pieces)	Couches-culottes jetables (50 pièces)	Einwegwindeln (50 Stück)	Y	
CP12132H	Cotton buds (100 pieces)	Cotons-tiges (100 pièces)	Wattestäbchen (100 Stück)	Y	
CP12132I	Manual toothbrush (1 piece)	Brosses à dents manuelles (1 pièce)	Zahnbürste, nicht elektrisch (1 Stück)	Y	
CP12132J	Toilet paper (10 rolls)	Papier toilettes (10 rouleaux)	Toilettenpapier (10 Rollen)	Y	
CP122_127	Prostitution; other services n.e.c.	Prostitution; autres services n.c.a.	Prostitution; sonstige Dienstleistungen a.n.g.	Y	
CP122	Prostitution	Prostitution	Prostitution	Y	
CP1220	Prostitution	Prostitution	Prostitution	Y	
CP12200	Prostitution	Prostitution	Prostitution	Y	
CP123	Personal effects n.e.c.	Effets personnels n.c.a.	Persönliche Gebrauchsgüter a.n.g.	Y	
CP1231	Jewellery, clocks and watches	Articles de bijouterie et d'horlogerie	Schmuck, Uhren und Armbanduhren	Y	
CP12311	Jewellery	Bijoux	Schmuck	Y	
CP12312	Clocks and watches	Horloges et montres	Uhren und Armbanduhren	Y	
CP12313	Repair of jewellery, clocks and watches	Réparation de bijoux, horloges et montres	Reparatur von Schmuck, Uhren und Armbanduhren	Y	
CP1232	Other personal effects	Autres effets personnels	Sonstige persönliche Gebrauchsgüter	Y	
CP12321	Travel goods	Articles de voyages	Reiseartikel	Y	
CP12322	Articles for babies	Articles pour bébés	Artikel für Babys	Y	
CP12323	Repair of other personal effects	Réparation d'autres effets personnels	Reparatur von sonstigen persönlichen Gebrauchsgüter	Y	
CP12329	Other personal effects n.e.c.	Autres effets personnels n.c.a.	Sonstige persönliche Gebrauchsgüter, a.n.g.	Y	
CP124	Social protection	Protection sociale	Sozialschutz	Y	
CP1240	Social protection	Protection sociale	Sozialschutz	Y	
CP12401	Child care services	Services de garde d'enfants	Dienstleistungen der Kinderbetreuung	Y	
CP12402	Retirement homes for elderly persons and residences for disabled persons	Maisons de retraite pour personnes âgées et foyers pour handicapés	Seniorenheime für ältere Menschen und Wohnungen für Behinderte	Y	
CP12403	Services to maintain people in their private homes	Services visant à maintenir les personnes à leur domicile privé	Betreuungsdienstleistungen für Privatpersonen	Y	
CP12404	Counselling	Services de conseil	Beratung	Y	
CP125	Insurance	Assurance	Versicherungen	Y	
CP1251	Life insurance	Assurance-vie	Lebensversicherung	Y	
CP12510	Life insurance	Assurance-vie	Lebensversicherung	Y	
CP1252	Insurance connected with the dwelling	Assurance habitation	Versicherungen im Zusammenhang mit der Wohnung	Y	
CP12520	Insurance connected with the dwelling	Assurance habitation	Versicherungen im Zusammenhang mit der Wohnung	Y	
CP1253	Insurance connected with health	Assurance santé	Versicherungen im Zusammenhang mit dem Gesundheit	Y	
CP12531	Public insurance connected with health	Assurance publique liée à la santé	Öffentliche Versicherung im Zusammenhang mit der Gesundheit	Y	
CP12532	Private insurance connected with health	Assurance privée liée à la santé	Private Versicherung im Zusammenhang mit der Gesundheit	Y	
CP1254	Insurance connected with transport	Assurance liée au transport	Versicherungen im Zusammenhang mit dem Verkehr	Y	
CP12541	Motor vehicle insurance	Assurance véhicule à moteur	Kraftfahrzeugversicherung	Y	
CP12542	Travel insurance	Assurance voyage	Reiseversicherung	Y	
CP1255	Other insurance	Autres assurances	Sonstige Versicherungen	Y	
CP12550	Other insurance	Autres assurances	Sonstige Versicherungen	Y	
CP126	Financial services n.e.c.	Services financiers n.c.a.	Finanzdienstleistungen, a.n.g.	Y	
CP1261	FISIM	SIFIM	FISIM	Y	
CP12610	FISIM	SIFIM	FISIM	Y	
CP1262	Other financial services n.e.c.	Autres services financiers n.c.a.	Sonstige Finanzdienstleistungen, a.n.g.	Y	
CP12621	Charges by banks and post offices	Frais facturés par les banques et les bureaux de poste	Gebühren von Banken und Postämtern	Y	
CP12622	Fees and service charges of brokers, investment counsellors	Commissions et rémunération des services de courtiers et de conseillers en placement	Gebühren und Leistungsentgelte für Börsenmakler, Anlageberater	Y	
CP127	Other services n.e.c.	Autres services n.c.a.	Sonstige Dienstleistungen a.n.g	Y	
CP1270	Other services n.e.c.	Autres services n.c.a.	Sonstige Dienstleistungen a.n.g.	Y	
CP12701	Administrative fees	Frais administratifs	Verwaltungsgebühren	Y	
CP12702	Legal services and accountancy	Services juridiques et de comptabilité	Juristische Dienstleistungen und Buchhaltung	Y	
CP12703	Funeral services	Services funéraires	Bestattungsdienstleistungen	Y	
CP12704	Other fees and services	Autres frais et services	Sonstige Gebühren und Dienstleistungen	Y	
GD	Goods (overall index excluding services)	Biens (indice global excluant les services)	Waren (Gesamtindex ohne Dienstleistungen)	Y	
FOOD	Food including alcohol and tobacco	Aliments incluant l'alcool et le tabac	Lebensmittel einschließlich Alkohol und Tabak	Y	
FOOD_P	Processed food including alcohol and tobacco	Aliments transformés incluant l'alcool et le tabac	Bearbeitete Lebensmittel einschließlich Alkohol und Tabak	Y	
FOOD_P_X_ALC_TBC	Processed food excluding alcohol and tobacco	Aliments transformés excluant l'alcool et le tabac	Bearbeitete Lebensmittel ohne Alkohol und Tabak	Y	
FOOD_NP	Unprocessed food	Aliments non transformés	Unbearbeitete Lebensmittel	Y	
FOOD_S	Seasonal food	Aliments saisonniers	Saisonale Lebensmittel	Y	
IGD	Industrial goods	Biens industriels	Industrielle Güter	Y	
IGD_NNRG	Non-energy industrial goods	Biens industriels non-énergétiques	Industrielle nichtenergetische Güter	Y	
IGD_NNRG_D	Non-energy industrial goods, durables only	Biens industriels non-énergétiques, durables uniquement	Industrielle nichtenergetische Güter, nur Gebrauchsgüter	Y	
IGD_NNRG_SD	Non-energy industrial goods, semi-durables only	Biens industriels non-énergétiques, semi-durables uniquement	Industrielle nichtenergetische Güter, nur Halbgebrauchsgüter	Y	
IGD_NNRG_ND	Non-energy industrial goods, non-durables only	Biens industriels non-énergétiques, non-durables uniquement	Industrielle nichtenergetische Güter, nur Verbrauchsgüter	Y	
NRG	Energy	Energie	Energie	Y	
ELC_GAS	Electricity, gas, solid fuels and heat energy	Electricité, gaz, combustibles solides et énergie thermique	Elektrizität, Gas, feste Brennstoffe und Wärmeenergie	Y	
FUEL	Liquid fuels and fuels and lubricants for personal transport equipment	Combustibles liquides et carburants et lubrifiants pour les véhicules personnels	Flüssige Brennstoffe, Kraft- und Schmierstoffe für private Verkehrsmittel	Y	
SERV_ESS	Essential services (excluding financial services)	Services essentiels (excluant les services financiers)	Grundlegende Dienstleistungen (ohne Finanzdienstleistungen)	Y	CP044 - CP0444 + CP045 + CP073 - CP0733- CP0734 + CP083
SERV	Services (overall index excluding goods)	Services (indice global excluant les biens)	Dienstleistungen (Gesamtindex ohne Waren)	Y	
SERV_COM	Services related to communication	Services relatifs à la communication	Dienstleistungen im Zusammenhang mit Nachrichtenübermittlung	Y	
SERV_HOUS	Services related to housing	Services relatifs au logement	Dienstleistungen im Zusammenhang mit der Wohnung	Y	
SERV_MSC	Services - miscellaneous	Services - divers	Dienstleistungen - Verschiedenes	Y	
SERV_REC	Services related to recreation, including repairs and personal care	Services relatifs aux loisirs, incluant les réparations et les soins personnels	Dienstleistungen im Zusammenhang mit Freizeit inklusive Reparaturen und Körperpflege	Y	
SERV_REC_X_HOA	Services related to recreation and personal care, excluding package holidays and accommodation	Services relatifs aux loisirs et soins personnels, excluant les vacances à forfait et l'hébergement	Dienstleistungen im Zusammenhang mit Freizeit inklusive Reparaturen und Körperpflege, aber ohne Pauschalreisen und Beherbergung	Y	
SERV_REC_HOA	Services related to package holidays and accommodation	Services relatifs aux forfaits touristiques et hébergement	Dienstleistungen im Zusammenhang mit Pauschalreisen und Beherbergung	Y	
SERV_TRA	Services related to transport	Services relatifs aux transports	Dienstleistungen im Zusammenhang mit Verkehr	Y	
NRG_FOOD_NP	Energy and unprocessed food	Energie et aliments non transformés	Energie und unbearbeitete Lebensmittel	Y	
NRG_FOOD_S	Energy and seasonal food	Energie et aliments saisonniers	Energie und saisonale Lebensmittel	Y	
EDUC_HLTH_SPR	Education, health and social protection	Enseignement, santé et protection sociale	Erziehung und Unterricht, Gesundheitspflege und Sozialschutz	Y	
FROOPP	Frequent out-of-pocket purchases	Achats directs fréquents	Häufige Direktkäufe	Y	
TOT_X_FOOD_S	Overall index excluding seasonal food	Indice global excluant les aliments saisonniers	Gesamtindex ohne saisonale Lebensmittel	Y	
TOT_X_ALC_TBC	Overall index excluding alcohol and tobacco	Indice global excluant l'alcool et le tabac	Gesamtindex ohne Alkohol und Tabak	Y	
TOT_X_TBC	Overall index excluding tobacco	Indice global excluant le tabac	Gesamtindex ohne Tabak	Y	
TOT_X_NRG	Overall index excluding energy	Indice global excluant l'énergie	Gesamtindex ohne Energie	Y	
TOT_X_NRG_FOOD	Overall index excluding energy, food, alcohol and tobacco	Indice global excluant l'énergie, les aliments, l'alcool et le tabac	Gesamtindex ohne Energie, Lebensmittel, Alkohol und Tabak	Y	
TOT_X_NRG_FOOD_NP	Overall index excluding energy and unprocessed food	Indice global excluant l'énergie et les aliments non transformés	Gesamtindex ohne Energie und unbearbeitete Lebensmittel	Y	
TOT_X_NRG_FOOD_S	Overall index excluding energy and seasonal food	Indice global excluant l'énergie et les aliments saisonniers	Gesamtindex ohne Energie und saisonale Lebensmittel	Y	
TOT_X_FUEL	Overall index excluding liquid fuels and lubricants for personal transport equipment	Indice global excluant les combustibles liquides et lubrifiants pour les véhicules personnels	Gesamtindex ohne flüssige Brennstoffe, Kraft- und Schmierstoffe für private Verkehrsmittel	Y	
TOT_X_HOUS	Overall index excluding housing, water, electricity, gas and other fuels	Indice global excluant le logement, l'eau, l'électricité, le gaz et autres combustibles	Gesamtindex ohne Wohnung, Wasser, Elektrizität, Gas und sonstige Brennstoffe	Y	
TOT_X_EDUC_HLTH_SPR	Overall index excluding education, health and social protection	Indice global excluant l'enseignement, la santé et la protection sociale	Gesamtindex ohne Erziehung und Unterricht, Gesundheitspflege und Sozialschutz	Y	
TOT_X_FROOPP	Overall index excluding frequent out-of-pocket purchases	Indice global excluant les achats directs fréquents	Gesamtindex ohne Häufige Direktkäufe	Y	
AP	Administered prices	Prix administrés	Administrierte Preise	Y	
AP_NRG	Administered prices, energy	Prix administrés, énergie	Administrierte Preise, Energie	Y	
AP_NNRG	Administered prices, non-energy	Prix administrés, hors énergie	Administrierte Preise, außer Energie	Y	
APF	Fully administered prices	Prix administrés directs	Direkt administrierte Preise	Y	
APM	Mainly administered prices	Prix essentiellement administrés	Teiladministrierte Preise	Y	
TOT_X_AP	Overall index excluding administered prices	Indice global excluant les prix administrés	Gesamtindex ohne administrierte Preise	Y	
TOT_X_APF	Overall index excluding fully administered prices	Indice global excluant les prix administrés directs	Gesamtindex ohne direkt administrierte Preise	Y	
TOT_X_APM	Overall index excluding mainly administered prices	Indice global excluant les prix essentiellement administrés	Gesamtindex ohne teiladministrierte Preise	Y	
EQ_SOUND	Equipment for the reception, recording and reproduction of sound (including earphones)	Appareils de réception, d'enregistrement et de reproduction du son (incluant les écouteurs)	Empfangs-, Aufzeichnungs- und Wiedergabegeräte für Ton (einschließlich Kopfhörer)	M	
CI_TH_CO	Cinemas, theatres, concerts (excluding services of musicians, clowns, performers for private entertainments)	Cinémas, théâtres,concerts (hors services de musiciens, clowns, artistes pour spectacles privés)	Kinos, Theater, Konzerte (ohne Leistungen von Musikern, Clowns und Privatunterhaltern)	M	
PERF_PHOT	Services of musicians, clowns, performers for private entertainers, and photographers	Services de musiciens, clowns, artistes pour spectacles privés et photographes	Leistungen von Musikern, Clowns, Privatunterhaltern und Fotografen	M	
